Date,Historical_Temp_C,Forecast_Temp_C,Predicted_UHI_Delta_C
2026-04-14,28.7,,
2026-04-15,28.8,,
2026-04-16,28.6,,
2026-04-17,28.3,,
2026-04-18,28.8,,
2026-04-19,29.1,,
2026-04-20,29.9,,
2026-04-21,29.5,,
2026-04-22,30,,
2026-04-23,29.5,,
2026-04-24,29.6,,
2026-04-25,30.4,,
2026-04-26,30.5,,
2026-04-27,29.9,,
2026-04-28,29.9,,
2026-04-29,30.4,,
2026-04-30,30.6,,
2026-05-01,29.6,,
2026-05-02,29.1,,
2026-05-03,29.8,,
2026-05-04,29.5,,
2026-05-05,29.6,,
2026-05-06,31.1,,
2026-05-07,29.9,,
2026-05-08,31,,
2026-05-09,32.3,,
2026-05-10,30.6,,
2026-05-11,30.5,,
2026-05-12,31.1,,
2026-05-13,30.1,,
2026-05-14,31.3,,
2026-05-15,30.6,,
2026-05-16,31.1,,
2026-05-17,30.8,,
2026-05-18,30.8,,
2026-05-19,30.5,,
2026-05-20,30,,
2026-05-15,,31.6,0.74
2026-05-16,,31.9,1.04
2026-05-17,,32.1,1.24
2026-05-18,,32.2,1.34
2026-05-19,,32.1,1.24
2026-05-20,,31.8,0.94
2026-05-21,,31.6,0.74